Name,OfficialName,Registry,CountryofOperator,Operator,Users,Purpose,DetailedPurpose,ClassofOrbit,TypeofOrbit,DateofLaunch,ExpectedLifetime
Lemur-2 Greenberg (Lemur 2F42),Lemur 2F42,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,7/14/2017,
Lemur-2 GregRobinson (Lemur 2FM108),Lemur 2FM108,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,7/5/2019,
Lemur-2 Gustavo (Lemur 2F89),Lemur 2F89,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,12/27/2018,
Lemur-2 HiMomAndDad (Lemur 2FM109),Lemur 2FM109,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,12/11/2019,
Lemur-2 JennnyBarna (Lemur 2F30),Lemur 2F30,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,4/18/2017,
Lemur-2 Jeremiah (Lemur 2F129),Lemur 2F129,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,11/7/2020,
Lemur-2 Jindra (Lemur 2F127),Lemur 2F127,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,11/7/2020,
Lemur-2 Jin-Luen (Lemur 2F76),Lemur2F76,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,1/31/2018,
Lemur-2 Jobanputra (Lemur 2-F22),Lemur 2F22,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,2/15/2017,
Lemur-2 JohanLoran (Lemur FM97),Lemur 2FM97,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,4/1/2019,
Lemur-2 JPSquared (Lemur 2FMf110),Lemur 2FM110,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,12/11/2019,
Lemur-2 Kadi (Lemur 2F74),Lemur2F74,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,1/31/2018,
Lemur-2 Kevin (Lemur 2F51),Lemur 2F51,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,12/8/2017,
Lemur-2 Kobyszcze (Lemur 2F86),Lemur 2F86,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,11/29/2018,
Lemur-2 KungFoo (Lemur 2F37),Lemur 2F37,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,6/23/2017,
Lemur-2 LillyJo (Lemur 2FM107),Lemur 2FM107,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,7/5/2019,
Lemur-2 Lisasaurus (Lemur 2F40),Lemur 2F40,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,6/23/2017,
Lemur-2 Liu-Poh-Chun (Lemur 2F55),Lemur 2F55,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,12/8/2017,
Lemur-2 LucyBryce (Lemur 2F36),Lemur 2F36,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,6/23/2017,
Lemur-2 Lynsey-Symo (Lemur 2F41),Lemur 2F41,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,6/23/2017,
Lemur-2 Marshall (Lemur 2F73),Lemur 2F73,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Polar,1/21/2018,
Lemur-2 McCafferty (Lemur 2F70),Lemur 2F70,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,1/11/2018,
Lemur-2 McCullagh (Lemur 2F56),Lemur 2F56,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,12/8/2017,
Lemur-2 McPeake (Lemur 2F38),Lemur 2F38,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,6/23/2017,
Lemur-2 Mia-Grace (Lemur 2F27),Lemur 2F27,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,2/15/2017,
Lemur-2 Monson (Lemur 2F44),Lemur 2F44,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,7/14/2017,
Lemur-2 Morag (Lemur 2FM101),Lemur 2FM101,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,7/5/2019,
Lemur-2 NatalieMurray (Lemur 2F94),Lemur 2F94,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,12/27/2018,
Lemur-2 Nichol (Lemur FM122),Lemur FM122,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,9/28/2020,
Lemur-2 NoguesCorreig (Lemur 2F28),Lemur 2F28,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,2/15/2017,
Lemur-2 Orzulak (Lemur 2F84),Lemur 2F84,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,11/29/2018,
Lemur-2 Oscarlator (Lemur 2FM118),Lemur FM118,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,9/2/2020,
Lemur-2 Ozarak,Lemur,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,11/7/2020,
Lemur-2 Pappy (Lemur 2FM108),Lemur 2FM108,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,12/11/2019,
Lemur-2 PeterG (Lemur 2F48),Lemur 2F48,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,7/14/2017,
Lemur-2 PeterWebster (Lemur 2F68),Lemur 2F68,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,1/11/2018,
Lemur-2 Rdeaton (Lemur 2-F25),Lemur 2F25,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,2/15/2017,
Lemur-2 RemyColton (Lemur 2F88),Lemur 2F88,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,12/27/2018,
Lemur-2 RobMoore (Lemur 2F33),Lemur 2F33,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,4/18/2017,
Lemur-2 RocketJonah (Lemur 2F54),Lemur 2F54,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,12/8/2017,
Lemur-2 RomaCoste (Lemur 2F53),Lemur 2F53,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,12/8/2017,
Lemur-2 Sam-Amelia (Lemur 2F39),Lemur 2F39,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,6/23/2017,
Lemur-2 SarahBettyBoo (Lemur 2F93),Lemur 2F93,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,12/27/2018,
Lemur-2 Satchmo (Lemur 2-F24),Lemur 2F24,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,2/15/2017,
Lemur-2 Schmidtfall (Lemur 2FM115),Lemur FM115,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,9/2/2020,
Lemur-2 ShainaJohl (Lemur 2F34),Lemur 2F34,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,6/23/2017,
Lemur-2 Slicers (Lemur 2FM121),Lemur FM121,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,9/28/2020,
Lemur-2 Smita-Sharad (Lemur 2-F26),Lemur 2F26,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,2/15/2017,
Lemur-2 Sokolsky (Lemur 2-F14),Lemur 2F14,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,10/17/2016,
Lemur-2 Spire-Minions (Lemur 2F23),Lemur 2F23,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,2/15/2017,
Lemur-2 SpiroVision (Lemur 2F32),Lemur 2F32,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,4/18/2017,
Lemur-2 Squarejaws (Lemur 2FM117),Lemur FM117,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,9/2/2020,
Lemur-2 Susurrus (Lemur 2FM120),Lemur FM120,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,9/28/2020,
Lemur-2 Tachikoma (Lemur 2F29),Lemur 2F29,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,2/15/2017,
Lemur-2 Tallhamn-ATC (Lemur 2F72),Lemur 2F72,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Polar,1/21/2018,
Lemur-2 TheNickMolo (Lemur 2F75),Lemur 2F75,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,1/31/2018,
Lemur-2 Theodosia (Lemur 2FM111),Lemur 2FM111,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,12/11/2019,
Lemur-2 TinyKev (Lemur 2F92),Lemur 2F92,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,12/27/2018,
Lemur-2 TomHenderson (Lemur 2F78),Lemur 2F78,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,7/16/2018,
Lemur-2 UramChanSol (Lemur 2F77),Lemur 2F77,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,1/31/2018,
Lemur-2 Ursa Avion (Lemur 2FM119),Lemur FM119,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,9/2/2020,
Lemur-2 Victor-Andrew (Lemur 2FM100),Lemur 2FM100,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,4/1/2019,
Lemur-2 Vladimir (Lemur 2F85),Lemur 2F85,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,11/29/2018,
Lemur-2 Vu (Lemur 2F81),Lemur 2F81,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,7/16/2018,
Lemur-2 Wallace (Lemur 2F128),Lemur 2F128,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,11/7/2020,
Lemur-2 Wanli (Lemur 2FM102),Lemur 2FM102,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,7/5/2019,
Lemur-2 Wingo (Lemur 2F17),Lemur 2F17,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,10/17/2016,
Lemur-2 Xiaoqing (Lemur 2F15),Lemur 2F15,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,10/17/2016,
Lemur-2 XueniTerence (Lemur 2F35),Lemur 2F35,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,6/23/2017,
Lemur-2 Yndrd (Lemur 2FM103),Lemur 2FM103,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,7/5/2019,
Lemur-2 YongLin (Lemur 2F50),Lemur 2F50,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,12/9/2017,
Lemur-2 Yuasa (Lemur 2F79),Lemur 2F79,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,7/16/2018,
Lemur-2 Zachary (Lemur 2F46),Lemur 2F46,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,7/14/2017,
Lemur-2 Zo (Lemur 2F91),Lemur 2F91,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,12/27/2018,
Lemur-2 Zupanski (Lemur 2F82),Lemur 2F82,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Polar,11/10/2018,
LEO CP9 (Launch Environment Observer),LEO CP9,USA,USA,California Polytechnic State University,Civil,Technology Development,,Elliptical,,6/25/2019,
LEO Vantage 1,LEO Vantage 1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,1/11/2018,
Lightsail-2,Lightsail-2,NR,USA,The Planetary Society,Civil,Technology Development,,LEO,Non-Polar Inclined,6/25/2019,
LightSat (D-Star One),LightSat,Germany,Germany,German Orbital Systems,Commercial,Technology Development,,LEO,Sun-Synchronous,7/5/2019,
"LilacSat-2 (CAS-3H, Zidingxiang-2)",LilacSat-2,NR,China,Harbin Institute/China Amateur Satellite - CAMSAT,Civil,Technology Development,,LEO,Sun-Synchronous,9/19/2015,
Ling Qiao,Ling Qiao,China,China,Xinwei Telecom Technology Company,Commercial,Technology Development,,LEO,Sun-Synchronous,9/4/2014,
Lingque 1A,Lingque 1A,NR,China,Beijing ZeroG Technology Co. Ltd.,Commercial,Earth Observation,,LEO,Sun-Synchronous,1/21/2019,
Lithuanicasat-2,Lithuanicasat-2 (QB50 LT01),Belgium,Lithuania,Vilnius University,Civil,Technology Development,,LEO,Sun-Synchronous,6/23/2017,
LKW-1 (Land Exploration Satellite 1),LKW-1,NR,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,12/4/2017,
LKW-2 (Land Exploration Satellite 2),LKW-2,NR,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,12/22/2017,
LKW-3 (Land Exploration Satellite 3),LKW-3,NR,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,1/13/2018,
LKW-4 (Land Exploration Satellite 4),LKW-4,NR,China,People's Liberation Army (C41),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,3/17/2018,
"Long Xia Yan (Lobster Eye, NJU-HKU No.1 )",Long Xi Yan,NR (12/20),China,Nanjing and Hong Kong Universities,Civil,Space Science,X-ray Astronomy,LEO,Sun-Synchronous,7/25/2020,
Lotos-S1 (Cosmos 2455),Cosmos 2455,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,11/20/2009,
Lotos-S1 (Cosmos 2524),Cosmos 2524,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,12/3/2017,
Lotos-S1 (Cosmos 2528),Cosmos 2528,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,10/24/2018,
Lotos-S2 (Cosmos 2502),Cosmos 2502,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,12/23/2014,
"LQSat (Lingqiao Satellite, Jilian 1A)",LQSat,NR,China,Changchun Institute of Optics,Commercial,Earth Observation,Technology Development,LEO,Sun-Synchronous,10/7/2015,
"LUCAS (Laser Utilizing Communication System, JDRS-1)",LUCAS,NR (12/20),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Communications,,GEO,,11/29/2020,10
Luch 5A,Luch 5A,Russia,Russia,Russian Federal Space Agency,Government,Communications,,GEO,,12/11/2011,
Luch 5B,Luch 5B,Russia,Russia,Russian Federal Space Agency,Government,Communications,,GEO,,11/2/2012,
Luch 5V,Luch 5V,Russia,Russia,Russian Federal Space Agency,Government,Communications,,GEO,,4/28/2014,10
Luch/Olympus,Luch/Olympus,Russia,Russia,Ministry of Defense,Military,Communications,,GEO,,9/27/2014,15
Lucky-7,Lucky-7,Czech Republic,Czech Republic,SkyFox Labs,Commercial,Technology Development,,LEO,Sun-Synchronous,7/5/2019,
Lume-1,Lume-1,Spain,Spain,University of Vigo/Alén Space,Commercial/Civil,Communications,,LEO,Sun-Synchronous,12/27/2018,
Luojia 1,Luojia 1,China,China,Wuhan University,Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,6/3/2018,
M3MSat (Maritime Monitoring and Messaging Microsatellite),M3MSat,Canada,Canada,Defence Research and Development Canada (DRDC)/Canadian Space Agency,Government,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,6/22/2016,
MakerSat-1,MakerSat-1,NR (12/20),USA,Northwest Nazarene University,Commercial/Civil,Technology Development,,LEO,Non-Polar Inclined,1/31/2020,
Maroc Tubsat ,Maroc Tubsat,NR,Morocco/Germany,CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin),Government,Technology Development,,LEO,Sun-Synchronous,12/10/2001,3
Max Valier,Max Valier,NR,Italy,"Max Valier school Bolzano, Italy, Oskar von Miller school, Merano, Italy",Civil,Space Science/Technology Development,,LEO,Sun-Synchronous,6/23/2017,
Maya-1 (Birds-2),Maya-1,NR,Philippines,Kyushu Institute of Technology (KIT),Civil,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,8/10/2018,
M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 - HRBE [William A. Hiscock Radiation Belt Explorer]),M-Cubed/E1P-U2,USA,USA,University of Michigan/Montana University,Civil,Technology Development,,LEO,Polar,10/28/2011,
Measat 3 (Malaysia East Asia Sat 3),Measat 3,Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,,GEO,,12/11/2006,15
Measat 3A (Malaysia East Asia Sat 3A),Measat 3A,Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,,GEO,,6/21/2009,15
Measat 3B (Malaysia East Asia Sat 3B),Measat 3B,Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,,GEO,,9/11/2014,15
Megha-Tropiques,Megha-Tropiques,India,India/France,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,10/12/2011,5
Merah Putih (Telkom 4),Merah Putih,NR,Indonesia,PT Telkomunikasi,Commercial,Communications,,GEO,,8/7/2018,16
"Mercury 1 (Advanced Vortex 1, USA 105)",USA 105,USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,Electronic Intelligence,GEO,,8/27/1994,
"Mercury 2 (Advanced Vortex 2, USA 118)",USA 118,USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,Electronic Intelligence,GEO,,4/24/1996,
"Mercury 3 (NROL 67, USA 250)",USA 250,USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,Electronic Intelligence,GEO,,4/10/2014,
Meridian-3,Meridian-3,Russia,Russia,Military Space Forces (VKS),Military,Communications,,Elliptical,Molniya,11/2/2010,
Meridian-4,Meridian-4,Russia,Russia,Military Space Forces (VKS),Military,Communications,,Elliptical,Molniya,5/4/2011,
Meridian-6 (Meridian 16L),Meridian-6,Russia,Russia,Military Space Forces (VKS),Military,Communications,,Elliptical,Molniya,11/14/2012,7
Meridian-7 (Meridian 17L),Meridian-7,Russia,Russia,Military Space Forces (VKS),Military,Communications,,Elliptical,Molniya,10/30/2014,7
Meridian-8 (Meridian 18L),Meridian-8,Russia,Russia,Military Space Forces (VKS),Military,Communications,,Elliptical,Molniya,7/30/2019,7
Meridian-9 (Meridian 19L),Meridian-9,Russia,Russia,Military Space Forces (VKS),Military,Communications,,Elliptical,Molniya,2/20/2020,7
Meshbed,Meshbed,USA,USA,Analytical Space,Government,Technology Development,,LEO,Sun-Synchronous,11/27/2019,
Meteor-M 2.2,Meteor-M 2.2,Russia,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,7/5/2019,5
Meteor-M N-2,Meteor-M N-2,Russia,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,7/8/2014,5
"Meteosat 10 (MSGalaxy-3,MSG 3)",Meteosat 10,EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,7/5/2012,7
Meteosat 11 (MSG 4),Meteosat 11,EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,7/15/2015,12
"Meteosat 8 (MSGalaxy-1, MSG-1)",Meteosat 8,EUMETSAT/ESA,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,8/21/2002,12
"Meteosat 9 (MSGalaxy-2, MSG 2)",Meteosat 9,EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,12/21/2005,12
MetOp-A (Meteorological Operational satellite),MetOp-A,EUMETSAT,Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,10/19/2006,5
MetOp-B (Meteorological Operational satellite),MetOp-B,EUMETSAT,Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,9/17/2012,5
MetOp-C (Meteorological Operational satellite),MetOp-C,EUMETSAT,Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,11/6/2018,5
MEV-1 (Mission Extension Vehicle-1),MEV-1,USA,USA,Space Logistics LLC,Commercial,Mission Extension Technology,,GEO,,10/9/2019,
MEV-2 (Mission Extension Vehicle-2),MEV-2,NR (12/20),USA,Space Logistics LLC,Commercial,Mission Extension Technology,,GEO,,8/15/2020,
Mexsat-3 (Mexsat Bicentenario),Mexsat-3,Mexico,Mexico,Mexico Telecomm,Government/Military,Communications,,GEO,,12/19/2012,15
Mexsat3 (Morelos-3),Mexsat-2,Mexico,Mexico,Mexico Telecomm,Government,Communications,,GEO,,10/2/2015,15
MeznSat,MeznSat,NR (12/20),United Arab Emirates,Masdar Institute of Science and Technology,Civil,Earth Observation,Earth Science,LEO,Sun-Synchronous,9/28/2020,3
MicroDragon,MicroDragon,NR,Vietnam,Vietnam National Space Center,Government,Earth Observation,,LEO,Sun-Synchronous,1/18/2019,
MicroMAS-2A (Micro-sized Microwave Atmospheric Satellite),MicroMAS-2A,USA,USA,MIT/Lincoln Laboratory-University of Massachusetts Amherst,Civil/Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,1/11/2018,
Microsat-TD,Microsat-TD,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,1/11/2018,
Mikhailo Lomonosov (MVL-300),MVL-300,Russia,Russia,Moscow State University,Civil/Government,Space Science,,LEO,Sun-Synchronous,4/27/2016,3
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",USA 99,USA,USA,US Air Force,Military,Communications,,GEO,,2/7/1994,10
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",USA 157,USA,USA,US Air Force,Military,Communications,,GEO,,2/27/2001,12
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",USA 164,USA,USA,US Air Force,Military,Communications,,GEO,,1/16/2002,12
Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),USA 169,USA,USA,US Air Force,Military,Communications,,GEO,,4/8/2003,12
MINXSS-2 (Miniature X-Ray Solar Spectrometer-2),MINXSS-2,USA,USA,"University of Colorado, Boulder",Government/Civil,Space Science,,LEO,Sun-Synchronous,12/3/2018,5
MMS-1 (Magnetospheric Multiscale Mission),MMS-1,USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,Elliptical,Sro-Synchronous,3/13/2015,3
MMS-2 (Magnetospheric Multiscale Mission),MMS-2,USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,Elliptical,,3/13/2015,3
