Name,OfficialName,Registry,CountryofOperator,Operator,Users,Purpose,DetailedPurpose,ClassofOrbit,TypeofOrbit,DateofLaunch,ExpectedLifetime
"AMC-11 (Americom-11, GE 11)",AMC-11,USA,USA,SES S.A.,Commercial,Communications,,GEO,,5/19/2004,15
AMC-15 (Americom-15),AMC-15,USA,USA,SES S.A.,Commercial,Communications,,GEO,,10/14/2004,15
AMC-16 (Americom-16),AMC-16,USA,USA,SES S.A.,Commercial,Communications,,GEO,,12/17/2004,15
AMC-18 (Americom 18),AMC-18,USA,USA,SES S.A.,Commercial,Communications,,GEO,,12/8/2006,15
"AMC-2 (Americom 2, GE-2)",AMC-2,USA,USA,SES S.A.,Commercial,Communications,,GEO,,1/30/1997,15
AMC-21 (Americom 21),AMC-21,United Kingdom,USA,SES S.A.,Commercial,Communications,,GEO,,8/14/2008,15
"AMC-4 (Americom-4, GE-4)",AMC-4,USA,USA,SES S.A./Gogo,Commercial,Communications,,GEO,,11/13/1999,15
"AMC-6 (Americom-6, GE-6)",AMC-6,USA,USA,SES S.A.,Commercial,Communications,,GEO,,10/22/2000,15
"AMC-8 (Americom-8, GE-8, Aurora 3)",AMC-8,USA,USA,SES S.A.,Commercial,Communications,,GEO,,12/19/2000,15
AmGU-1 (AmurSat-1),AmGU-1,Russia,Russia,Moscow State University,Civil,Space Science,,LEO,Sun-Synchronous,7/5/2019,
Amos 17,Amos 17,NR (12/20),Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,8/6/2019,20
Amos 3,Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,4/28/2008,12
Amos 4,Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,8/31/2013,12
Amsat-Oscar 7 (AO-7),Amsat-Oscar 7,USA,USA,AMSAT-NA,Civil,Communications,,LEO,Polar,11/15/1974,
"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",ANASIS-II,NR (12/20),South Korea,Agency for Defense Development,Military,Communications,,GEO,,7/20/2020,15
